,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Busselton,-33.65,115.3333,64.99,76,100,4.0,AU,1614554915
1,Rikitea,-23.1203,-134.9692,78.39,77,28,12.19,PF,1614554915
2,Ashti,19.3833,76.2333,76.44,25,0,4.7,IN,1614554916
3,Atuona,-9.8,-139.0333,80.37,78,6,16.31,PF,1614554916
4,Verkhnyaya Inta,65.9811,60.3094,4.55,92,97,9.75,RU,1614554916
5,Kakching,24.4833,93.9833,51.98,69,0,1.5,IN,1614554916
6,Castro,-24.7911,-50.0119,64.26,96,91,7.81,BR,1614554901
7,Saskylakh,71.9167,114.0833,-23.4,84,100,7.18,RU,1614554917
8,Kahului,20.8947,-156.47,78.8,57,40,21.85,US,1614554917
9,Qaanaaq,77.484,-69.3632,-5.19,83,88,2.98,GL,1614554917
10,Nouadhibou,20.931,-17.0347,60.8,77,0,16.11,MR,1614554918
11,Tāybād,34.74,60.7756,45.43,21,2,7.16,IR,1614554918
12,Clyde River,70.4692,-68.5914,-27.4,56,75,3.44,CA,1614554918
13,George Town,5.4112,100.3354,80.6,88,20,3.44,MY,1614554919
14,Tilichiki,60.4667,166.1,-15.63,90,100,14.79,RU,1614554919
15,Calama,-22.4667,-68.9333,69.8,43,20,29.93,CL,1614554919
16,Hithadhoo,-0.6,73.0833,82.71,65,83,8.55,MV,1614554920
17,Rocha,-34.4833,-54.3333,68.79,82,5,11.23,UY,1614554920
18,Ribeira Grande,38.5167,-28.7,56.77,62,2,9.91,PT,1614554920
19,Padang,-0.9492,100.3543,73.4,94,20,3.44,ID,1614554795
20,Suwanee,34.0515,-84.0713,73.99,56,20,9.22,US,1614554795
21,Danville,36.586,-79.395,57.2,88,1,8.72,US,1614554691
22,Itapuranga,-15.5622,-49.9486,67.35,95,99,4.63,BR,1614554921
23,Vaini,-21.2,-175.2,82.4,69,75,4.61,TO,1614554922
24,Albany,42.6001,-73.9662,41.0,63,100,1.01,US,1614554922
25,Talnakh,69.4865,88.3972,-34.29,79,12,8.46,RU,1614554922
26,Cabo San Lucas,22.8909,-109.9124,78.01,41,40,9.22,MX,1614554823
27,Bambous Virieux,-20.3428,57.7575,78.01,88,40,3.44,MU,1614554923
28,Chara,56.9064,118.2631,-27.24,61,77,1.48,RU,1614554923
29,Nikolskoye,59.7035,30.7861,34.0,93,0,6.71,RU,1614554923
30,Chokurdakh,70.6333,147.9167,-29.09,84,0,3.38,RU,1614554924
31,Lesnyye Polyany,55.9667,37.8667,30.2,93,90,2.24,RU,1614554924
32,Punta Arenas,-53.15,-70.9167,51.8,43,0,13.8,CL,1614554649
33,Hamilton,39.1834,-84.5333,61.0,88,90,9.22,US,1614554870
34,Ambon City,-3.6954,128.1814,84.2,70,40,12.66,ID,1614554925
35,Manzhouli,49.6,117.4333,-11.88,69,0,3.29,CN,1614554925
36,Barrow,71.2906,-156.7887,-11.2,70,1,8.05,US,1614554701
37,Longyearbyen,78.2186,15.6401,15.8,67,75,10.36,SJ,1614554926
38,Borovnica,45.9158,14.3631,35.01,71,17,3.0,SI,1614554926
39,Antofagasta,-23.65,-70.4,69.8,78,20,10.36,CL,1614554927
40,Nuuk,64.1835,-51.7216,8.6,85,75,12.66,GL,1614554927
41,Port Alfred,-33.5906,26.891,71.74,77,4,28.1,ZA,1614554665
42,Harper,4.375,-7.7169,78.12,87,33,3.27,LR,1614554927
43,Provideniya,64.3833,-173.3,-4.0,71,90,24.61,RU,1614554928
44,Mount Gambier,-37.8333,140.7667,62.6,63,90,14.97,AU,1614554738
45,Port Macquarie,-31.4333,152.9167,79.0,88,40,3.44,AU,1614554928
46,Kapaa,22.0752,-159.319,75.2,69,20,23.02,US,1614554928
47,Kati,12.7441,-8.0726,80.6,22,0,3.44,ML,1614554929
48,Hilo,19.7297,-155.09,78.8,65,90,9.22,US,1614554929
49,Hofn,64.2539,-15.2082,39.09,73,85,13.11,IS,1614554929
50,Coquimbo,-29.9533,-71.3436,62.6,82,40,11.5,CL,1614554896
51,Ushuaia,-54.8,-68.3,46.4,61,20,17.27,AR,1614554741
52,Outjo,-20.1167,16.15,68.02,59,23,11.56,NA,1614554930
53,Saint-Philippe,-21.3585,55.7679,77.0,69,0,2.3,RE,1614554930
54,Miyako,39.6367,141.9525,43.7,62,84,4.12,JP,1614554931
55,Matamoros,25.5333,-103.25,93.2,6,75,13.09,MX,1614554931
56,Arraial do Cabo,-22.9661,-42.0278,77.63,85,99,15.21,BR,1614554931
57,Prykolotne,50.1604,37.3474,29.57,99,79,5.26,UA,1614554932
58,Asău,46.4333,26.4,39.0,49,99,4.83,RO,1614554932
59,Adeje,28.1227,-16.726,63.0,77,20,6.91,ES,1614554932
60,Caravelas,-17.7125,-39.2481,76.17,84,99,7.72,BR,1614554933
61,Torbay,47.6666,-52.7314,32.0,100,90,2.3,CA,1614554933
62,Mar del Plata,-38.0023,-57.5575,70.0,100,75,12.66,AR,1614554933
63,Henties Bay,-22.116,14.2845,64.99,90,45,1.99,NA,1614554933
64,Miles City,46.4083,-105.8406,42.8,28,75,21.85,US,1614554934
65,Ilulissat,69.2167,-51.1,21.2,53,75,16.11,GL,1614554934
66,Tuatapere,-46.1333,167.6833,69.01,76,42,1.99,NZ,1614554935
67,Ahipara,-35.1667,173.1667,72.5,65,42,7.7,NZ,1614554935
68,Hermanus,-34.4187,19.2345,72.0,83,0,11.99,ZA,1614554935
69,Kumul,42.8,93.45,25.11,71,0,1.3,CN,1614554935
70,Fomboni,-12.28,43.7425,82.51,77,66,11.36,KM,1614554935
71,Weihe,32.9952,105.3247,34.63,51,96,8.08,CN,1614554936
72,Sinnamary,5.3833,-52.95,76.66,84,76,12.08,GF,1614554936
73,Mataura,-46.1927,168.8643,69.01,76,81,1.99,NZ,1614554936
74,Severo-Kuril'sk,50.6789,156.125,26.29,92,83,23.17,RU,1614554937
75,Guerrero Negro,27.9769,-114.0611,73.26,23,0,11.68,MX,1614554937
76,Yellowknife,62.456,-114.3525,-18.0,52,40,8.05,CA,1614554684
77,Portland,45.5234,-122.6762,57.99,44,20,1.48,US,1614554639
78,Kearney,40.6995,-99.0815,39.2,56,1,9.22,US,1614554938
79,Acaraú,-2.8856,-40.12,79.38,82,100,12.24,BR,1614554939
80,East London,-33.0153,27.9116,71.31,76,46,20.54,ZA,1614554939
81,Khatanga,71.9667,102.5,-26.82,85,100,3.13,RU,1614554939
82,Kutum,14.2,24.6667,60.3,30,11,11.1,SD,1614554939
83,Kavieng,-2.5744,150.7967,82.98,74,52,7.02,PG,1614554940
84,Kuruman,-27.4524,23.4325,65.03,58,5,5.91,ZA,1614554941
85,Cape Town,-33.9258,18.4232,71.01,64,0,10.36,ZA,1614554882
86,Fairbanks,64.8378,-147.7164,0.0,71,90,6.91,US,1614554894
87,Jamestown,42.097,-79.2353,44.01,89,90,12.06,US,1614554650
88,Carnarvon,-24.8667,113.6333,73.4,83,100,5.75,AU,1614554942
89,Pringsewu,-5.3582,104.9744,72.48,86,95,1.9,ID,1614554942
90,Port Elizabeth,-33.918,25.5701,69.8,83,0,16.11,ZA,1614554942
91,Buala,-8.145,159.5921,78.06,88,100,12.21,SB,1614554711
92,Balingasay,16.3573,119.8564,79.45,79,78,10.65,PH,1614554943
93,Ponta do Sol,32.6667,-17.1,60.8,67,40,8.05,PT,1614554943
94,Puerto Escondido,15.85,-97.0667,82.4,69,20,8.05,MX,1614554944
95,Whitehorse,60.7161,-135.0538,32.0,69,75,13.8,CA,1614554944
96,Gao,16.6362,1.637,78.98,10,90,8.52,ML,1614554944
97,Poplar Bluff,36.757,-90.3929,60.8,82,90,5.75,US,1614554945
98,Nantucket,41.2835,-70.0995,41.0,93,1,9.22,US,1614554945
99,Avarua,-21.2078,-159.775,84.2,79,20,13.8,CK,1614554946
100,Vanimo,-2.6741,141.3028,81.36,78,93,4.56,PG,1614554946
101,Nome,64.5011,-165.4064,-5.8,59,1,2.95,US,1614554733
102,Souillac,-20.5167,57.5167,77.0,88,40,3.44,MU,1614554947
103,Tocopilla,-22.092,-70.1979,71.01,66,24,3.76,CL,1614554947
104,Ballina,-28.8667,153.5667,79.0,83,40,3.0,AU,1614554947
105,Linjiang,41.8069,126.9078,22.23,91,100,4.45,CN,1614554948
106,Iqaluit,63.7506,-68.5145,-18.4,57,75,5.75,CA,1614554746
107,Hobart,-42.8794,147.3294,64.99,88,75,6.91,AU,1614554757
108,Broken Hill,-31.95,141.4333,69.8,43,0,14.97,AU,1614554949
109,Tiarei,-17.5333,-149.3333,84.2,74,75,5.75,PF,1614554949
110,Lumsden,50.6501,-104.8678,12.0,72,90,12.66,CA,1614554950
111,Inírida,3.8653,-67.9239,78.57,82,68,2.06,CO,1614554950
112,Kalengwa,-13.4659,25.0027,63.34,99,99,3.85,ZM,1614554950
113,Margate,51.3813,1.3862,44.01,84,0,1.99,GB,1614554950
114,Airai,-8.9266,125.4092,61.63,100,100,0.43,TL,1614554951
115,Pangnirtung,66.1451,-65.7125,-31.43,76,98,3.98,CA,1614554951
116,Norman Wells,65.282,-126.8329,-20.2,63,75,12.66,CA,1614554951
117,Tiksi,71.6872,128.8694,-30.59,85,100,4.59,RU,1614554951
118,Port Blair,11.6667,92.75,75.85,63,14,3.67,IN,1614554952
119,Banda Aceh,5.5577,95.3222,76.23,76,0,5.88,ID,1614554952
120,Bredasdorp,-34.5322,20.0403,69.8,88,35,13.8,ZA,1614554952
121,Belyy Yar,53.6039,91.3903,3.2,78,75,2.24,RU,1614554953
122,Sitka,57.0531,-135.33,41.0,75,90,19.57,US,1614554953
123,Thinadhoo,0.5333,72.9333,82.02,65,64,6.93,MV,1614554954
124,Flinders,-34.5833,150.8552,79.0,75,1,1.99,AU,1614554859
125,Touros,-5.1989,-35.4608,78.8,83,40,9.22,BR,1614554954
126,Ancud,-41.8697,-73.8203,64.99,72,20,4.61,CL,1614554955
127,Santiago del Estero,-27.7951,-64.2615,87.75,31,6,4.79,AR,1614554934
128,Lavrentiya,65.5833,-171.0,-11.9,86,1,4.79,RU,1614554955
129,Jijiga,9.35,42.8,61.56,42,61,4.76,ET,1614554955
130,Bluff,-46.6,168.3333,69.01,76,74,1.99,NZ,1614554956
131,Jalu,29.0331,21.5482,55.65,65,0,9.48,LY,1614554956
132,Grindavik,63.8424,-22.4338,37.4,81,75,21.85,IS,1614554956
133,Rio Claro,-22.4114,-47.5614,75.2,83,40,5.75,BR,1614554956
134,Butaritari,3.0707,172.7902,80.6,82,97,9.98,KI,1614554956
135,Broome,42.2506,-75.833,39.99,87,90,13.8,US,1614554957
136,Nanortalik,60.1432,-45.2371,29.19,94,100,9.35,GL,1614554957
137,Thompson,55.7435,-97.8558,-9.4,54,1,14.97,CA,1614554957
138,Mandalgovi,45.7625,106.2708,5.32,74,19,2.98,MN,1614554958
139,Hervey Bay,-25.2986,152.8535,84.2,58,40,9.22,AU,1614554958
140,Gornopravdinsk,60.05,69.9,-13.97,96,4,5.88,RU,1614554958
141,Mahébourg,-20.4081,57.7,77.0,88,40,3.44,MU,1614554959
142,Wyndham,37.6985,-77.6125,51.01,93,90,3.8,US,1614554959
143,Buchmany,51.0689,28.0421,35.55,97,100,9.48,UA,1614554960
144,Chapais,49.7834,-74.8492,24.8,86,90,9.22,CA,1614554960
145,Makīnsk,52.6292,70.4169,30.42,98,100,16.55,KZ,1614554706
146,Bengkulu,-3.8004,102.2655,76.98,80,95,3.36,ID,1614554961
147,Deputatsky,69.3,139.9,-35.27,85,76,0.81,RU,1614554961
148,Cap Malheureux,-19.9842,57.6142,78.01,80,2,3.0,MU,1614554962
149,The Valley,18.217,-63.0578,77.0,69,20,11.5,AI,1614554962
150,Buritizeiro,-17.3511,-44.9622,71.17,82,82,3.89,BR,1614554963
151,Vila do Maio,15.1333,-23.2167,68.0,64,40,19.57,CV,1614554963
152,New Norfolk,-42.7826,147.0587,64.99,77,78,3.98,AU,1614554963
153,Bulembu,-25.9667,31.1333,66.0,94,93,2.3,SZ,1614554964
154,Jerantut,3.936,102.3626,72.28,94,69,0.54,MY,1614554964
155,Riyadh,24.6877,46.7219,68.0,22,40,12.66,SA,1614554763
156,Saint Paul Harbor,57.79,-152.4072,26.6,43,1,27.63,US,1614554965
157,Juan de Ayolas,-27.4,-56.9,80.78,44,0,5.46,PY,1614554965
158,Jaora,23.6333,75.1333,69.15,36,0,6.46,IN,1614554965
159,Vanino,49.0869,140.2543,6.3,83,9,15.21,RU,1614554966
160,Coyhaique,-45.5752,-72.0662,55.69,98,100,5.3,CL,1614554671
161,Eyl,7.9803,49.8164,74.03,82,86,12.15,SO,1614554942
162,Sassandra,4.95,-6.0833,77.97,89,100,4.79,CI,1614554967
163,Tasiilaq,65.6145,-37.6368,15.8,86,0,6.91,GL,1614554967
164,Deskáti,39.9225,21.8028,41.0,81,87,5.75,GR,1614554967
165,Camopi,3.1655,-52.3158,72.39,97,96,2.51,GF,1614554968
166,Hokitika,-42.7167,170.9667,67.06,71,99,6.15,NZ,1614554968
167,Vostok,46.4856,135.8833,-5.37,93,99,4.85,RU,1614554969
168,Puerto Ayora,-0.7393,-90.3518,84.2,79,20,11.5,EC,1614554969
169,Nabire,-3.3667,135.4833,78.46,86,100,3.42,ID,1614554704
170,Cidreira,-30.1811,-50.2056,74.41,84,30,21.23,BR,1614554970
171,Bethel,41.3712,-73.414,37.0,94,100,1.99,US,1614554944
172,Maamba,-17.3667,27.15,62.96,94,100,4.79,ZM,1614554971
173,Neochori,41.1833,23.25,42.01,61,18,5.01,GR,1614554971
174,Sumbe,-11.2061,13.8437,76.01,87,93,8.01,AO,1614554971
175,Luanda,-8.8368,13.2343,78.8,83,20,8.05,AO,1614554766
176,Sørland,67.667,12.6934,42.33,73,100,29.73,NO,1614554971
177,Frýdek-Místek,49.6833,18.35,37.4,87,90,2.3,CZ,1614554972
178,Labuhan,-6.8844,112.2051,77.7,83,65,3.29,ID,1614554972
179,Lerwick,60.1545,-1.1494,44.6,93,90,19.57,GB,1614554972
180,Sibolga,1.7427,98.7792,75.78,80,91,3.89,ID,1614554973
181,Haverfordwest,51.8017,-4.9691,46.99,80,0,8.99,GB,1614554973
182,Hay River,60.8156,-115.7999,-5.8,45,100,9.22,CA,1614554973
183,Ostrovnoy,68.0531,39.5131,33.93,91,100,22.03,RU,1614554973
184,Florianópolis,-27.6146,-48.5012,77.0,94,75,2.3,BR,1614554974
185,Hong Kong,22.2855,114.1577,69.01,85,98,11.18,HK,1614554974
186,Farīdpur,23.6,89.8333,75.2,78,40,11.5,BD,1614554974
187,Samaná,19.2056,-69.3369,78.8,89,40,4.61,DO,1614554975
188,San Policarpo,12.1791,125.5072,79.92,82,100,7.29,PH,1614554975
189,Finschhafen,-6.6024,147.8681,84.38,71,38,3.31,PG,1614554975
190,São Filipe,14.8961,-24.4956,67.12,74,4,13.13,CV,1614554976
191,Fort Nelson,58.8053,-122.7002,-2.2,65,75,6.91,CA,1614554976
192,Faanui,-16.4833,-151.75,82.85,76,80,10.83,PF,1614554977
193,Areosa,41.7178,-8.8571,55.99,71,0,6.91,PT,1614554977
194,Sobolevo,54.4299,31.8996,32.49,97,100,7.72,RU,1614554978
195,Pacific Grove,36.6177,-121.9166,66.99,30,1,5.75,US,1614554978
196,Conway,35.0887,-92.4421,60.8,100,90,6.91,US,1614554927
197,Fendou,45.2,130.9167,6.71,83,100,1.41,CN,1614554978
198,Adet,11.2644,37.4888,59.04,66,84,1.16,ET,1614554979
199,Takahata,38.0025,140.1911,39.99,93,75,1.14,JP,1614554979
200,Madaoua,14.073,5.96,76.93,9,1,14.09,NE,1614554979
201,Cherskiy,68.75,161.3,-17.9,81,0,0.6,RU,1614554980
202,Raahe,64.6833,24.4833,41.0,70,0,14.97,FI,1614554980
203,Sakhnovshchyna,49.1517,35.872,29.3,99,84,5.35,UA,1614554980
204,Obihiro,42.9172,143.2044,35.6,55,75,9.22,JP,1614554981
205,Isangel,-19.55,169.2667,86.0,74,75,5.75,VU,1614554981
206,Soto,-32.8107,-61.4026,84.0,61,0,8.05,AR,1614554981
207,Camocim,-2.9022,-40.8411,78.64,84,96,10.63,BR,1614554982
208,Lianyuan,27.6883,111.6642,54.25,96,100,4.92,CN,1614554982
209,Koygorodok,60.445,50.9968,-6.18,91,0,2.15,RU,1614554982
210,Marawi,7.9986,124.2928,73.99,92,0,3.0,PH,1614554983
211,Plettenberg Bay,-34.0527,23.3716,70.21,86,12,7.52,ZA,1614554983
212,Santa Cruz del Sur,20.7147,-77.9956,82.09,58,0,7.2,CU,1614554983
213,Ochakiv,46.6128,31.5498,35.6,80,40,4.47,UA,1614554984
214,Tevriz,57.509,72.4042,-3.42,92,100,7.16,RU,1614554984
215,Anloga,5.7947,0.8973,84.2,79,20,9.22,GH,1614554984
216,Rawson,-43.3002,-65.1023,81.05,22,54,6.78,AR,1614554985
217,Houndé,11.5,-3.5167,80.94,15,12,3.42,BF,1614554985
218,Katakwi,1.8911,33.9661,74.62,39,50,4.0,UG,1614554833
219,Lagoa,39.05,-27.9833,56.28,64,5,12.95,PT,1614554986
220,Kieta,-6.2167,155.6333,82.09,66,100,1.03,PG,1614554986
221,Wucheng,29.6008,118.175,60.01,91,100,1.07,CN,1614554987
222,Malakal,9.5334,31.6605,81.01,10,0,9.73,SS,1614554987
223,Kavaratti,10.5669,72.642,81.5,69,8,0.16,IN,1614554987
224,Vila Franca do Campo,37.7167,-25.4333,59.0,88,75,13.8,PT,1614554987
225,Rapla,59.0072,24.7928,30.99,99,27,5.23,EE,1614554988
226,Bačko Gradište,45.5328,20.0283,28.4,93,0,1.14,RS,1614554988
227,Pevek,69.7008,170.3133,-23.4,87,2,2.84,RU,1614554988
228,Upernavik,72.7868,-56.1549,4.89,76,61,6.87,GL,1614554988
229,Kholodnyy,62.7167,147.95,-21.12,84,77,2.84,RU,1614554989
230,Humberto de Campos,-2.5983,-43.4611,77.11,86,98,5.79,BR,1614554989
231,Port Hardy,50.6996,-127.4199,46.4,81,75,17.27,CA,1614554989
232,Koson,39.0375,65.585,35.6,60,0,9.22,UZ,1614554989
233,Nishihara,26.1842,127.7558,69.8,88,20,3.44,JP,1614554990
234,Samarai,-10.6167,150.6667,83.8,75,97,14.65,PG,1614554990
235,Palmas,-10.2128,-48.3603,73.4,94,75,6.91,BR,1614554990
236,Kemijärvi,66.7131,27.4306,36.5,87,100,11.83,FI,1614554990
237,San Patricio,28.017,-97.5169,78.8,73,90,21.85,US,1614554991
238,Santa Rita do Sapucaí,-22.2522,-45.7033,65.88,90,100,1.36,BR,1614554991
239,Dunedin,-45.8742,170.5036,62.01,90,79,25.99,NZ,1614554991
240,Port Augusta,-32.5,137.7667,69.8,68,36,13.8,AU,1614554992
241,Alpena,45.0617,-83.4327,43.0,87,90,11.5,US,1614554992
242,Kununurra,-15.7667,128.7333,78.8,60,2,4.61,AU,1614554992
243,Dingle,10.9995,122.6711,74.91,89,95,7.72,PH,1614554992
244,Iwanai,42.9744,140.5089,35.51,86,100,8.9,JP,1614554993
245,Ankara,39.9199,32.8543,30.0,69,0,5.75,TR,1614554838
246,Xai-Xai,-25.0519,33.6442,73.8,77,98,10.8,MZ,1614554993
247,Alofi,-19.0595,-169.9187,80.6,83,90,4.61,NU,1614554994
248,Arica,-18.475,-70.3042,73.4,68,0,5.75,CL,1614554994
249,Muros,42.7762,-9.0603,48.0,77,0,1.99,ES,1614554994
250,Timmins,48.4669,-81.3331,32.0,86,90,10.36,CA,1614554994
251,Xapuri,-10.6517,-68.5044,76.37,93,93,2.24,BR,1614554995
252,Charters Towers,-20.1,146.2667,73.4,88,100,16.06,AU,1614554995
253,Srīvardhan,18.0333,73.0167,76.35,58,0,9.46,IN,1614554995
254,Solnechnyy,50.7214,136.6319,-3.21,81,5,1.45,RU,1614554996
255,Comodoro Rivadavia,-45.8667,-67.5,82.4,39,0,8.05,AR,1614554865
256,Itaituba,-4.2761,-55.9836,80.6,83,40,0.98,BR,1614554996
257,Farsund,58.0948,6.8047,42.01,94,21,15.82,NO,1614554996
258,Dodge City,37.7528,-100.0171,46.4,29,1,18.41,US,1614554997
259,Vallenar,-28.5708,-70.7581,74.64,47,0,5.35,CL,1614554997
260,Majene,-3.5403,118.9707,77.83,74,100,2.8,ID,1614554997
261,Rincon,32.296,-81.2354,75.2,73,75,12.66,US,1614554998
262,Kruisfontein,-34.0033,24.7314,70.0,82,1,3.0,ZA,1614554998
263,Sarangani,5.4033,125.4636,82.38,76,62,15.9,PH,1614554998
264,Stromness,58.965,-3.296,44.6,87,90,9.22,GB,1614554999
265,Kongolo,-5.3833,27.0,70.61,93,88,0.83,CD,1614554999
266,Luba,3.4568,8.5547,78.8,83,20,3.44,GQ,1614554999
267,Lata,40.1629,-8.3327,57.0,94,7,2.17,PT,1614555000
268,Acapulco de Juárez,16.8634,-99.8901,82.4,74,40,11.5,MX,1614554945
269,Takaka,-40.85,172.8,63.0,91,100,5.01,NZ,1614555001
270,Mackenzie,55.2999,-123.1698,37.4,81,75,12.66,CA,1614555001
271,Gemeente Ommen,52.5333,6.5,39.99,94,0,1.99,NL,1614555002
272,Matara,5.9485,80.5353,72.73,80,2,8.14,LK,1614555003
273,Omsukchan,62.5333,155.8,-22.27,83,98,6.15,RU,1614555004
274,Churapcha,62.0025,132.4325,-15.81,92,100,7.74,RU,1614555004
275,San Buenaventura,27.0833,-101.5333,89.6,22,75,9.22,MX,1614555004
276,Los Chiles,11.0333,-84.7167,77.02,74,69,7.99,CR,1614555005
277,Zhicheng,30.2956,111.5047,45.0,97,100,8.14,CN,1614555005
